MD,Match_ID,Player,Squad,#,Nation,Age_Years,Age_Days,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,xA,KP,1/3,PPA,CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,PrgR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
7,109,Gregory Wüthrich,Sturm Graz,5,SUI,30,48,CB,90,0,0,0,0,0,0,0,0,53,1,2,0,0.0,0.0,0.0,1,0,33,40,82.5,0,29,1,0,0,571,156,13,15,86.7,17,18,94.4,1,5,20.0,0.0,1,0,0,0,30,10,3,1,0,0,0,0,0,0,0,33,0,0,1,1,0,0,1,2,50.0,1,0,0,2,3,6,0,21,38,15,1,1,,0,,142,59,0,0,0,0,26,1,0,2,1,0,0,1,0,0,0,4,1,2,33.3
7,109,Jon Gorenc Stanković,Sturm Graz,4,SVN,29,7,"CM,DM",90,0,0,0,0,0,0,0,0,50,4,1,3,0.0,0.0,0.0,0,0,31,36,86.1,3,24,0,2,1,463,190,14,18,77.8,13,13,100.0,1,2,50.0,0.0,0,5,0,0,34,2,1,0,0,1,1,0,0,0,0,31,0,0,3,3,1,0,2,6,33.3,4,1,2,1,5,6,0,9,22,23,5,0,50.0,1,50.0,56,15,0,0,0,2,26,3,0,2,1,0,1,3,0,0,0,4,1,2,33.3
7,109,Kjell Scherpen,Sturm Graz,1,NED,24,364,GK,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,28,42,66.7,0,21,0,0,0,816,612,1,1,100.0,15,15,100.0,12,26,46.2,0.0,0,0,0,0,33,9,3,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,40,47,0,0,0,,0,,89,66,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
7,109,Leon Grgic,Sturm Graz,38,AUT,18,365,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,109,Lovro Zvonarek,Sturm Graz,14,CRO,19,258,AM,22,0,0,0,0,2,1,0,0,13,0,0,0,0.2,0.2,0.0,1,0,6,8,75.0,0,11,0,2,1,77,24,3,4,75.0,3,4,75.0,0,0,,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1,8,5,1,50.0,0,0.0,30,18,0,0,2,1,12,1,0,0,1,0,0,0,0,0,0,1,0,1,0.0
7,109,Malick Yalcouye,Sturm Graz,8,CIV,19,64,RM,68,0,0,0,0,0,0,0,0,34,2,2,2,0.0,0.0,0.0,0,0,21,24,87.5,2,19,2,2,0,287,30,14,15,93.3,6,7,85.7,1,2,50.0,0.0,0,1,0,0,24,0,0,0,0,1,0,0,0,0,0,21,0,0,2,1,1,0,2,3,66.7,1,0,2,2,4,0,1,0,5,21,8,1,0.0,1,50.0,138,95,0,0,2,0,23,0,0,0,2,0,1,2,0,0,0,4,0,1,0.0
7,109,Otar Kiteishvili,Sturm Graz,10,GEO,28,301,FW,89,0,0,0,0,1,0,0,0,59,2,0,4,0.0,0.0,0.2,2,0,43,50,86.0,6,43,0,3,2,601,176,26,27,96.3,14,17,82.4,1,3,33.3,0.1,1,2,4,0,49,1,0,0,0,0,1,0,0,0,0,43,0,0,1,0,1,1,0,0,,0,0,4,0,2,0,0,3,12,32,16,0,66.7,1,33.3,122,52,1,0,0,0,44,1,0,0,2,0,0,1,0,0,0,4,0,2,0.0
7,109,Seedy Jatta,Sturm Graz,20,NOR,21,309,"FW,LM",45,0,0,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.0,2,0,6,8,75.0,0,7,1,1,1,43,1,5,6,83.3,0,0,,0,0,,0.1,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,6,0,0,1,1,1,0,2,2,100.0,0,0,0,0,2,2,0,3,3,7,5,1,100.0,0,0.0,43,40,1,1,2,0,8,2,0,1,2,0,0,1,0,0,0,0,1,1,50.0
7,109,Stefan Hierländer,Sturm Graz,25,AUT,33,353,DM,13,0,0,0,0,0,0,0,0,12,1,1,0,0.0,0.0,0.0,0,0,8,9,88.9,0,7,0,0,0,105,37,5,5,100.0,3,3,100.0,0,1,0.0,0.0,0,1,0,0,8,1,1,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,1,2,50.0,1,0,0,1,2,0,0,0,6,2,4,0,,0,,48,5,0,0,1,1,7,1,0,0,0,0,0,1,0,0,0,0,0,0,
7,109,Tochi Chukwuani,Sturm Graz,21,DEN,21,303,"CM,DM",77,0,0,0,0,0,0,0,0,44,2,1,1,0.0,0.0,0.0,0,0,33,37,89.2,0,30,2,1,1,460,94,21,22,95.5,11,11,100.0,0,1,0.0,0.0,0,2,0,0,36,1,1,1,0,0,0,0,0,0,0,33,0,1,1,1,1,0,2,3,66.7,1,0,1,1,3,0,0,3,12,28,4,0,100.0,0,0.0,103,51,0,0,1,0,29,0,0,2,0,0,0,1,0,0,0,7,0,0,
